Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
108,tt1392214,2022-03-25,2022-03-25,,"Prisoners","Prisoners",https://www.imdb.com/title/tt1392214/,Movie,8.2,153,2013,"Crime, Drama, Mystery, Thriller",815300,2013-09-20,"Denis Villeneuve"
109,tt0246578,2022-03-25,2022-03-25,,"Donnie Darko","Donnie Darko",https://www.imdb.com/title/tt0246578/,Movie,8.0,113,2001,"Drama, Mystery, Sci-Fi, Thriller",853493,2001-01-19,"Richard Kelly"
110,tt2316411,2022-03-25,2022-03-25,,"Enemy","Enemy",https://www.imdb.com/title/tt2316411/,Movie,6.9,91,2013,"Drama, Mystery, Thriller",216488,2014-02-06,"Denis Villeneuve"
111,tt0132477,2022-03-25,2022-03-25,,"October Sky","October Sky",https://www.imdb.com/title/tt0132477/,Movie,7.8,108,1999,"Biography, Drama, Family",98439,1999-02-19,"Joe Johnston"
112,tt4975722,2022-03-27,2022-03-27,,"Moonlight","Moonlight",https://www.imdb.com/title/tt4975722/,Movie,7.4,111,2016,"Drama",333169,2016-11-18,"Barry Jenkins"
113,tt1093908,2022-03-27,2022-03-27,,"Confessions of a Shopaholic","Confessions of a Shopaholic",https://www.imdb.com/title/tt1093908/,Movie,5.8,104,2009,"Comedy, Romance",83364,2009-02-13,"P.J. Hogan"
114,tt14369952,2022-03-28,2022-03-28,,"Porn and Ice Cream","Porno y Helado",https://www.imdb.com/title/tt14369952/,TV Series,7.6,30,2022,"Comedy, Music",956,2022-03-11,
115,tt0253556,2022-03-28,2022-03-28,,"Reign of Fire","Reign of Fire",https://www.imdb.com/title/tt0253556/,Movie,6.2,101,2002,"Action, Adventure, Fantasy, Thriller",145914,2002-07-12,"Rob Bowman"
116,tt2306299,2022-03-30,2022-03-30,,"Vikings","Vikings",https://www.imdb.com/title/tt2306299/,TV Series,8.5,45,2013,"Action, Adventure, Drama, History, Romance, War",586895,2013-03-03,
117,tt12851512,2022-03-30,2022-03-30,,"The Girl from Plainville","The Girl from Plainville",https://www.imdb.com/title/tt12851512/,TV Mini Series,6.4,45,2022,"Biography, Crime, Drama, Mystery",8317,2022-03-29,
118,tt3164256,2022-03-30,2022-03-30,,"Rock the Kasbah","Rock the Kasbah",https://www.imdb.com/title/tt3164256/,Movie,5.5,106,2015,"Comedy, Music, War",12771,2015-10-23,"Barry Levinson"
119,tt0082776,2022-03-31,2022-03-31,,"Ms .45","Ms .45",https://www.imdb.com/title/tt0082776/,Movie,6.8,80,1981,"Crime, Drama, Thriller",12662,1981-04-24,"Abel Ferrara"
120,tt8697870,2022-03-31,2022-03-31,,"The Nevers","The Nevers",https://www.imdb.com/title/tt8697870/,TV Series,7.4,58,2021,"Action, Drama, Fantasy, Sci-Fi, Thriller",27870,2021-04-11,
121,tt6439752,2022-03-31,2022-03-31,,"Snowfall","Snowfall",https://www.imdb.com/title/tt6439752/,TV Series,8.4,44,2017,"Crime, Drama",31162,2017-07-05,
122,tt18274172,2022-03-31,2022-03-31,,"The Great Robbery of Brazil's Central Bank","Hei$t: The Great Robbery of Brazil's Central Bank",https://www.imdb.com/title/tt18274172/,TV Series,6.4,60,2022,"Documentary, Crime",734,2022-03-16,
123,tt11947418,2022-03-31,2022-03-31,,"Minx","Minx",https://www.imdb.com/title/tt11947418/,TV Series,7.6,30,2022,"Comedy",12426,2022-03-17,
124,tt4244994,2022-03-31,2022-03-31,,"The Last Duel","The Last Duel",https://www.imdb.com/title/tt4244994/,Movie,7.4,152,2021,"Action, Drama, History, Thriller",183610,2021-10-15,"Ridley Scott"
125,tt17036612,2022-03-31,2022-03-31,,"Phoenix Rising","Phoenix Rising",https://www.imdb.com/title/tt17036612/,TV Mini Series,7.2,78,2022,"Documentary, Crime",3781,2022-03-15,
126,tt11646832,2022-04-04,2022-04-04,,"The Outlaws","The Outlaws",https://www.imdb.com/title/tt11646832/,TV Series,7.7,58,2021,"Comedy, Crime, Drama, Thriller",16259,2022-03-18,
127,tt0113277,2022-04-06,2022-04-06,,"Heat","Heat",https://www.imdb.com/title/tt0113277/,Movie,8.3,170,1995,"Action, Crime, Drama",723132,1995-12-15,"Michael Mann"
128,tt0117500,2022-04-06,2022-04-06,,"The Rock","The Rock",https://www.imdb.com/title/tt0117500/,Movie,7.4,136,1996,"Action, Adventure, Thriller",359480,1996-06-07,"Michael Bay"
129,tt1855199,2022-04-06,2022-04-06,,"End of Watch","End of Watch",https://www.imdb.com/title/tt1855199/,Movie,7.6,109,2012,"Action, Crime, Drama, Thriller",270307,2012-09-21,"David Ayer"
